CUMHURBAÞKANI VE 28.DÖNEM MÝLLETVEKÝLÝ GENEL SEÇÝMÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ýl Id;Ýl Adý;Kayýtlý Seçmen Sayýsý;Oy Kullanan Seçmen Sayýsý;Geçerli Oy Toplamý;MÝLLET;HAK-PAR;TKP;TKH;SOL PARTÝ;GENÇPARTÝ;MEMLEKET;BBP;AK PARTÝ;YENÝDEN REFAH;MHP;YEÞÝL SOL PARTÝ;TÝP;AB;ANAP;YP;HKP;MÝLLÝ YOL;VATAN PARTÝSÝ;GBP;CHP;ÝYÝ PARTÝ;AP;ZAFER PARTÝSÝ;SOSYALÝST GÜÇ BÝRLÝÐÝ ÝTTÝFAKI;CUMHUR ÝTTÝFAKI;EMEK VE ÖZGÜRLÜK ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;ATA ÝTTÝFAKI;BAÐIMSIZ TOPLAM OY
;Oy Oraný;;;;%0.04;%0.09;%0.05;%0.02;%0.13;%0.04;%0.22;%0.39;%39.79;%3.65;%11.34;%7.03;0%;0%;%0.19;%0.01;%0.06;%0.03;%0.12;0%;%20.51;%2.35;0%;%0.54;0%;%0.63;0%;%0.1;0%;%12.54
24;ERZÝNCAN;170.013;153.862;151.143;60;73;39;24;67;71;430;550;57.501;2.178;29.787;1.553;366;0;308;15;65;0;77;95;54.883;0;320;1.460;12;902;9;0;23;275
;Oy Oraný;;;;%0.03;%0.04;%0.02;%0.01;%0.04;%0.04;%0.28;%0.36;%38.04;%1.44;%19.7;%1.02;%0.24;0%;%0.2;0%;%0.04;0%;%0.05;%0.06;%36.31;0%;%0.21;%0.96;0%;%0.59;0%;0%;%0.01;%0.18
25;ERZURUM;510.281;440.156;429.394;304;373;372;125;813;0;2.148;7.526;183.642;21.410;71.509;42.462;0;708;0;109;291;273;308;0;27.462;41.236;999;10.282;25;3.146;2;657;44;13.168
;Oy Oraný;;;;%0.07;%0.08;%0.08;%0.02;%0.18;0%;%0.5;%1.75;%42.76;%4.98;%16.65;%9.88;0%;%0.16;0%;%0.02;%0.06;%0.06;%0.07;0%;%6.39;%9.6;%0.23;%2.39;0%;%0.73;0%;%0.15;%0.01;%3.06
26;ESKÝÞEHÝR;689.529;626.357;614.299;836;342;717;132;397;1.981;7.892;6.793;199.350;8.717;43.670;12.020;9.924;0;0;117;286;215;568;418;209.209;86.097;0;18.617;12;2.480;37;3.119;5;348
;Oy Oraný;;;;%0.13;%0.05;%0.11;%0.02;%0.06;%0.32;%1.28;%1.1;%32.45;%1.41;%7.1;%1.95;%1.61;0%;0%;%0.01;%0.04;%0.03;%0.09;%0.06;%34.05;%14.01;0%;%3.03;0%;%0.4;0%;%0.5;0%;%0.05
27;GAZÝANTEP;1.361.806;1.166.755;1.133.176;1.547;810;1.285;343;1.828;0;8.454;7.828;503.081;46.838;108.261;102.986;0;1.561;2.080;406;546;776;656;795;227.471;61.542;2.502;37.425;52;7.343;12;2.232;214;4.302
;Oy Oraný;;;;%0.13;%0.07;%0.11;%0.03;%0.16;0%;%0.74;%0.69;%44.39;%4.13;%9.55;%9.08;0%;%0.13;%0.18;%0.03;%0.04;%0.06;%0.05;%0.07;%20.07;%5.43;%0.22;%3.3;0%;%0.64;0%;%0.19;%0.01;%0.37
28;GÝRESUN;349.475;308.630;299.850;320;568;301;83;169;0;2.399;1.754;127.661;7.421;46.737;721;1.308;0;0;48;315;156;308;161;60.973;38.598;1.439;4.623;30;2.159;11;1.168;36;383
